station1,station2,id1,id2,order
Kentish Town (nn),Tufnell Park (nn),125.1,235.1,99
Tufnell Park (nn),Archway (nn),235.1,7.1,98
Archway (nn),Highgate (nn),7.1,111.1,97
Highgate (nn),East Finchley (nn),111.1,66.1,96
East Finchley (nn),Finchley Central (nn),66.1,81.1,95
Finchley Central (nn),Mill Hill East (nn),81.1,149.1,94
Mill Hill East (nn),Mill Hill East,149.1,149,93
Mill Hill East,Mill Hill East (ns),149,149.2,92
Mill Hill East (ns),Finchley Central (ns),149.2,81.2,91
Finchley Central (ns),Finchley Central,81.2,81,90
Finchley Central,Finchley Central (nn),81,81.1,89
Finchley Central (nn),West Finchley (nn),81.1,255.1,88
West Finchley (nn),Woodside Park (nn),255.1,272.1,87
Woodside Park (nn),Totteridge & Whetstone (nn),272.1,233.1,86
Totteridge & Whetstone (nn),High Barnet (nn),233.1,108.1,85
High Barnet (nn),High Barnet,108.1,108,84
High Barnet,Cockfosters,108,53,83
Cockfosters,Cockfosters (pw),53,53.2,82
Cockfosters (pw),Oakwood (pw),53.2,169.2,81
Oakwood (pw),Southgate (pw),169.2,213.2,80
Southgate (pw),Arnos Grove (pw),213.2,8.2,79
Arnos Grove (pw),Bounds Green (pw),8.2,28.2,78
Bounds Green (pw),Wood Green (pw),28.2,269.2,77
Wood Green (pw),Turnpike Lane (pw),269.2,237.2,76
Turnpike Lane (pw),Manor House (pw),237.2,144.2,75
Manor House (pw),Finsbury Park (pw),144.2,83.2,74
Finsbury Park (pw),Arsenal (pw),83.2,9.2,73
Arsenal (pw),Holloway Road (pw),9.2,115.2,72
Holloway Road (pw),Caledonian Road (pw),115.2,35.2,71
Caledonian Road (pw),Kings Cross St Pancras (pw),35.2,130.4,70
Kings Cross St Pancras (pw),Russell Square (pw),130.4,199.2,69
Russell Square (pw),Holborn (pw),199.2,113.4,68
Holborn (pw),Covent Garden (pw),113.4,56.2,67
Covent Garden (pw),Leicester Square (pw),56.2,137.3,66
Leicester Square (pw),Piccadilly Circus (pw),137.3,179.4,65
Piccadilly Circus (pw),Green Park (pw),179.4,92.4,64
Green Park (pw),Hyde Park Corner (pw),92.4,120.2,63
Hyde Park Corner (pw),Knightsbridge (pw),120.2,132.2,62
Knightsbridge (pw),South Kensington (pw),132.2,207.2,61
South Kensington (pw),Gloucester Road (pw),207.2,86.2,60
Gloucester Road (pw),Gloucester Road,86.2,86,59
Gloucester Road,Gloucester Road (rdw),86,86.4,58
Gloucester Road (rdw),High Street Kensington (rde),86.4,109.1,57
High Street Kensington (rde),Notting Hill Gate (rde),109.1,168.3,56
Notting Hill Gate (rde),Bayswater (rde),168.3,18.1,55
Bayswater (rde),Paddington (BRD) (rde),18.1,174.3,54
Paddington (BRD) (rde),Edgware Road (RDH) (rde2),174.3,72.1,53
Edgware Road (RDH) (rde2),Edgware Road (RDH),72.1,72,52
Edgware Road (RDH),Edgware Road (RDH) (rhw1),72,72.4,51
Edgware Road (RDH) (rhw1),Paddington (RH) (rhw),72.4,175.2,50
Paddington (RH) (rhw),Royal Oak (rhw),175.2,195.2,49
Royal Oak (rhw),Westbourne Park (rhw),195.2,261.2,48
Westbourne Park (rhw),Ladbroke Grove (rhw),261.2,133.2,47
Ladbroke Grove (rhw),Latimer Road (rhw),133.2,136.2,46
Latimer Road (rhw),Wood Lane (rhw),136.2,270.2,45
Wood Lane (rhw),Shepherds Bush Market (rhw),270.2,202.2,44
Shepherds Bush Market (rhw),Goldhawk Road (rhw),202.2,88.2,43
Goldhawk Road (rhw),Hammersmith (RH) (rhw),88.2,97.2,42
Hammersmith (RH) (rhw),Hammersmith (RH),97.2,97,41
Hammersmith (RH),Hammersmith (DP),97,96,40
Hammersmith (DP),Hammersmith (DP) (de),96,96.1,39
Hammersmith (DP) (de),Barons Court (de),96.1,16.1,38
Barons Court (de),West Kensington (de),16.1,259.1,37
West Kensington (de),West Kensington,259.1,259,36
West Kensington,West Kensington (dw),259,259.2,35
West Kensington (dw),Barons Court (dw),259.2,16.2,34
Barons Court (dw),Hammersmith (DP) (dw),16.2,96.2,33
Hammersmith (DP) (dw),Ravenscourt Park (dw),96.2,188.2,32
Ravenscourt Park (dw),Stamford Brook (dw),188.2,218.2,31
Stamford Brook (dw),Turnham Green (dw),218.2,236.2,30
Turnham Green (dw),Gunnersbury (dw),236.2,94.2,29
Gunnersbury (dw),Kew Gardens (dw),94.2,127.2,28
Kew Gardens (dw),Richmond (dw),127.2,192.2,27
Richmond (dw),Richmond,192.2,192,26
Richmond,Richmond (de),192,192.1,25
Richmond (de),Kew Gardens (de),192.1,127.1,24
Kew Gardens (de),Gunnersbury (de),127.1,94.1,23
Gunnersbury (de),Turnham Green (de),94.1,236.1,22
Turnham Green (de),Turnham Green,236.1,236,21
Turnham Green,Turnham Green (dw),236,236.2,20
Turnham Green (dw),Chiswick Park (dw),236.2,48.2,19
Chiswick Park (dw),Acton Town (dw),48.2,1.2,18
Acton Town (dw),Acton Town,1.2,1,17
Acton Town,Acton Town (pw),1,1.4,16
Acton Town (pw),South Ealing (pw),1.4,205.2,15
South Ealing (pw),Northfields (pw),205.2,163.2,14
Northfields (pw),Boston Manor (pw),163.2,27.2,13
Boston Manor (pw),Osterley (pw),27.2,171.2,12
Osterley (pw),Hounslow East (pw),171.2,118.2,11
Hounslow East (pw),Hounslow Central (pw),118.2,117.2,10
Hounslow Central (pw),Hounslow West (pw),117.2,119.2,9
Hounslow West (pw),Hatton Cross (pw),119.2,103.2,8
Hatton Cross (pw),Heathrow Terminal 4 (pw),103.2,104.2,7
Heathrow Terminal 4 (pw),Heathrow Terminal 4,104.2,104,6
Heathrow Terminal 4,Heathrow Terminal 4 (pe),104,104.1,5
Heathrow Terminal 4 (pe),Heathrow Terminals 2 & 3 (pe),104.1,106.1,4
Heathrow Terminals 2 & 3 (pe),Heathrow Terminals 2 & 3,106.1,106,3
Heathrow Terminals 2 & 3,Heathrow Terminals 2 & 3 (pw),106,106.2,2
Heathrow Terminals 2 & 3 (pw),Heathrow Terminal 5 (pw),106.2,105.2,1
