station1,station2,time,dist,line,flag,id1,id2,direction1,direction2,id0,station1_count,2d
West Hampstead (jw),Kilburn (jw),105,1090,j,t,257.2,128.2,w,w,257,6,TRUE
Finchley Road (jw),West Hampstead (jw),90,610,j,t,82.2,257.2,w,w,82,12,FALSE
Swiss Cottage (jw),Finchley Road (jw),75,610,j,t,226.2,82.2,w,w,226,6,TRUE
St Johns Wood (jw),Swiss Cottage (jw),105,920,j,t,216.2,226.2,w,w,216,6,TRUE
Baker Street (jw),St Johns Wood (jw),165,2060,j,t,10.4,216.2,w,w,10,24,FALSE
Bond Street (jw),Baker Street (jw),135,1660,j,t,25.4,10.4,w,w,25,12,FALSE
Green Park (jw),Bond Street (jw),120,1370,j,t,92.2,25.4,w,w,92,18,FALSE
Westminster (jw),Green Park (jw),120,1330,j,t,262.2,92.2,w,w,262,12,FALSE
Waterloo (jw),Westminster (jw),105,960,j,t,249.4,262.2,w,w,249,21,FALSE
Southwark (jw),Waterloo (jw),75,440,j,t,214.2,249.4,w,w,214,6,TRUE
London Bridge (jw),Southwark (jw),105,1250,j,t,141.2,214.2,w,w,141,12,FALSE
Bermondsey (jw),London Bridge (jw),135,1930,j,t,21.2,141.2,w,w,21,6,TRUE
Canada Water (jw),Bermondsey (jw),105,1060,j,t,37.2,21.2,w,w,37,6,TRUE
Canary Wharf (jw),Canada Water (jw),150,2410,j,t,38.2,37.2,w,w,38,6,TRUE
North Greenwich (jw),Canary Wharf (jw),120,1710,j,t,160.2,38.2,w,w,160,6,TRUE
Canning Town (jw),North Greenwich (jw),135,1710,j,t,39.2,160.2,w,w,39,6,TRUE
West Ham (jw),Canning Town (jw),135,1580,j,t,256.4,39.2,w,w,256,12,FALSE
Stratford (jw),West Ham (jw),165,1540,j,t,223.4,256.4,w,w,223,9,FALSE
Cockfosters (pw),Oakwood (pw),165,1270,p,t,53.2,169.2,w,w,53,4,FALSE
Oakwood (pw),Southgate (pw),150,1870,p,t,169.2,213.2,w,w,169,6,TRUE
Southgate (pw),Arnos Grove (pw),240,1950,p,t,213.2,8.2,w,w,213,6,TRUE
Arnos Grove (pw),Bounds Green (pw),135,1260,p,t,8.2,28.2,w,w,8,6,TRUE
Bounds Green (pw),Wood Green (pw),150,1530,p,t,28.2,269.2,w,w,28,6,TRUE
Wood Green (pw),Turnpike Lane (pw),105,980,p,t,269.2,237.2,w,w,269,6,TRUE
Turnpike Lane (pw),Manor House (pw),195,2320,p,t,237.2,144.2,w,w,237,6,TRUE
Manor House (pw),Finsbury Park (pw),135,1050,p,t,144.2,83.2,w,w,144,6,TRUE
Finsbury Park (pw),Arsenal (pw),105,690,p,t,83.2,9.2,w,w,83,12,FALSE
Arsenal (pw),Holloway Road (pw),90,740,p,t,9.2,115.2,w,w,9,6,TRUE
Holloway Road (pw),Caledonian Road (pw),60,600,p,t,115.2,35.2,w,w,115,6,TRUE
Caledonian Road (pw),Kings Cross St Pancras (pw),195,1960,p,t,35.2,130.4,w,w,35,6,TRUE
Kings Cross St Pancras (pw),Russell Square (pw),120,920,p,t,130.4,199.2,w,w,130,24,FALSE
Russell Square (pw),Holborn (pw),105,720,p,t,199.2,113.4,w,w,199,6,TRUE
Holborn (pw),Covent Garden (pw),105,600,p,t,113.4,56.2,w,w,113,12,FALSE
Covent Garden (pw),Leicester Square (pw),75,260,p,t,56.2,137.3,w,w,56,6,TRUE
Leicester Square (pw),Piccadilly Circus (pw),90,500,p,t,137.3,179.4,w,w,137,12,FALSE
Piccadilly Circus (pw),Green Park (pw),90,560,p,t,179.4,92.4,w,w,179,12,FALSE
Green Park (pw),Hyde Park Corner (pw),120,1060,p,t,92.4,120.2,w,w,92,18,FALSE
Hyde Park Corner (pw),Knightsbridge (pw),90,510,p,t,120.2,132.2,w,w,120,6,TRUE
Knightsbridge (pw),South Kensington (pw),165,1220,p,t,132.2,207.2,w,w,132,6,TRUE
South Kensington (pw),Gloucester Road (pw),105,710,p,t,207.2,86.2,w,w,207,12,FALSE
Gloucester Road (pw),Earls Court (pw),105,790,p,t,86.2,64.4,w,w,86,13,FALSE
Earls Court (pw),Barons Court (pw),180,1630,p,t,64.4,16.4,w,w,64,15,FALSE
Barons Court (pw),Hammersmith (DP) (pw),120,680,p,t,16.4,96.4,w,w,16,12,FALSE
Hammersmith (DP) (pw),Acton Town (pw),375,4410,p,t,96.4,1.4,w,w,96,12,FALSE
Acton Town (pw),South Ealing (pw),195,2200,p,t,1.4,205.2,w,w,1,13,FALSE
South Ealing (pw),Northfields (pw),90,390,p,t,205.2,163.2,w,w,205,6,TRUE
Northfields (pw),Boston Manor (pw),105,1000,p,t,163.2,27.2,w,w,163,6,TRUE
Boston Manor (pw),Osterley (pw),195,2430,p,t,27.2,171.2,w,w,27,6,TRUE
Osterley (pw),Hounslow East (pw),120,970,p,t,171.2,118.2,w,w,171,6,TRUE
Hounslow East (pw),Hounslow Central (pw),90,740,p,t,118.2,117.2,w,w,118,6,TRUE
Hounslow Central (pw),Hounslow West (pw),150,1460,p,t,117.2,119.2,w,w,117,6,TRUE
Hounslow West (pw),Hatton Cross (pw),270,2910,p,t,119.2,103.2,w,w,119,6,TRUE
Hatton Cross (pw),Heathrow Terminal 4 (pw),150,1830,p,t,103.2,104.2,w,w,103,7,FALSE
Hatton Cross (pw),Heathrow Terminals 2 & 3 (pw),255,2160,p,t,103.2,106.2,w,w,103,7,FALSE
Heathrow Terminals 2 & 3 (pw),Heathrow Terminal 5 (pw),210,2480,p,t,106.2,105.2,w,w,106,6,TRUE
Acton Town (pw),Ealing Common (pw),150,1030,p,t,1.4,63.4,w,w,1,13,FALSE
Ealing Common (pw),North Ealing (pw),120,950,p,t,63.4,159.2,w,w,63,12,FALSE
North Ealing (pw),Park Royal (pw),120,1060,p,t,159.2,176.2,w,w,159,6,TRUE
