id,INT?,station,longitude,latitude,zone,flag,map x,map y
104.2,FALSE,Heathrow Terminal 4 (pw),,,,p,,
105,TRUE,Heathrow Terminal 5,-0.49108,51.47006,6,s,1.5966,5.4607
105.1,FALSE,Heathrow Terminal 5 (pe),,,,p,,
105.2,FALSE,Heathrow Terminal 5 (pw),,,,p,,
106,TRUE,Heathrow Terminals 2 & 3,-0.452,51.471,6,s,1.8344,5.0955
106.1,FALSE,Heathrow Terminals 2 & 3 (pe),,,,p,,
106.2,FALSE,Heathrow Terminals 2 & 3 (pw),,,,p,,
107,TRUE,Hendon Central,-0.2259,51.5829,"3,4",s,4.9642,2.0075
107.1,FALSE,Hendon Central (nn),,,,p,,
107.2,FALSE,Hendon Central (ns),,,,p,,
108,TRUE,High Barnet,-0.1943,51.6503,5,s,6.0068,1.3033
108.1,FALSE,High Barnet (nn),,,,p,,
108.2,FALSE,High Barnet (ns),,,,p,,
109,TRUE,High Street Kensington,-0.1925,51.5009,1,s,4.225,4.1571
109.1,FALSE,High Street Kensington (rde),,,,p,,
109.2,FALSE,High Street Kensington (rdw),,,,p,,
110,TRUE,Highbury & Islington,-0.104,51.546,2,s,6.711,2.7467
110.1,FALSE,Highbury & Islington (vn),,,,p,,
110.1,FALSE,Highbury & Islington (vs),,,,p,,
111,TRUE,Highgate,-0.1458,51.5777,3,s,6.0068,2.0464
111.1,FALSE,Highgate (nn),,,,p,,
111.2,FALSE,Highgate (ns),,,,p,,
112,TRUE,Hillingdon,-0.4499,51.5538,6,s,1.8497,1.8998
112.1,FALSE,Hillingdon (mpn),,,,p,,
112.2,FALSE,Hillingdon (mps),,,,p,,
113,TRUE,Holborn,-0.12,51.5174,1,s,5.754,3.7543
113.1,FALSE,Holborn (ce),,,,p,,
113.2,FALSE,Holborn (cw),,,,p,,
113.3,FALSE,Holborn (pe),,,,p,,
113.4,FALSE,Holborn (pw),,,,p,,
114,TRUE,Holland Park,-0.206,51.5075,2,s,4.0679,3.9321
114.1,FALSE,Holland Park (ce),,,,p,,
114.2,FALSE,Holland Park (cw),,,,p,,
115,TRUE,Holloway Road,-0.1132,51.5526,2,s,6.5437,2.5949
115.1,FALSE,Holloway Road (pe),,,,p,,
115.2,FALSE,Holloway Road (pw),,,,p,,
116,TRUE,Hornchurch,0.2184,51.5539,6,s,9.5933,2.4605
116.1,FALSE,Hornchurch (de),,,,p,,
116.2,FALSE,Hornchurch (dw),,,,p,,
117,TRUE,Hounslow Central,-0.3665,51.4713,4,s,2.1444,4.7856
117.1,FALSE,Hounslow Central (pe),,,,p,,
117.2,FALSE,Hounslow Central (pw),,,,p,,
118,TRUE,Hounslow East,-0.3564,51.4733,4,s,2.2208,4.7049
118.1,FALSE,Hounslow East (pe),,,,p,,
118.2,FALSE,Hounslow East (pw),,,,p,,
119,TRUE,Hounslow West,-0.3855,51.4734,5,s,2.034,4.896
119.1,FALSE,Hounslow West (pe),,,,p,,
119.2,FALSE,Hounslow West (pw),,,,p,,
120,TRUE,Hyde Park Corner,-0.1527,51.5027,1,s,4.8981,4.0966
120.1,FALSE,Hyde Park Corner (pe),,,,p,,
120.2,FALSE,Hyde Park Corner (pw),,,,p,,
121,TRUE,Ickenham,-0.4421,51.5619,6,s,2,1.8998
121.1,FALSE,Ickenham (mpn),,,,p,,
121.2,FALSE,Ickenham (mps),,,,p,,
122,TRUE,Kennington,-0.1053,51.4884,"1,2",s,5.6433,5.4947
122.1,FALSE,Kennington (nn),,,,p,,
122.2,FALSE,Kennington (ns),,,,p,,
123,TRUE,Kensal Green,-0.225,51.5304,2,s,3.5923,2.8471
123.1,FALSE,Kensal Green (bn),,,,p,,
123.2,FALSE,Kensal Green (bs),,,,p,,
124,TRUE,Kensington (Olympia),-0.2106,51.4983,2,s,4.0977,4.225
124.1,FALSE,Kensington (Olympia) (de),,,,p,,
124.2,FALSE,Kensington (Olympia) (dw),,,,p,,
125,TRUE,Kentish Town,-0.1402,51.5507,2,s,5.9641,2.5171
125.1,FALSE,Kentish Town (nn),,,,p,,
125.2,FALSE,Kentish Town (ns),,,,p,,
126,TRUE,Kenton,-0.3162,51.5816,4,s,3.5852,2.0422
126.1,FALSE,Kenton (bn),,,,p,,
126.2,FALSE,Kenton (bs),,,,p,,
127,TRUE,Kew Gardens,-0.285,51.477,"3,4",s,2.7006,4.9596
127.1,FALSE,Kew Gardens (de),,,,p,,
127.2,FALSE,Kew Gardens (dw),,,,p,,
128,TRUE,Kilburn,-0.2047,51.5471,2,s,4.3826,2.5016
128.1,FALSE,Kilburn (je),,,,p,,
128.2,FALSE,Kilburn (jw),,,,p,,
129,TRUE,Kilburn Park,-0.1939,51.5351,2,s,3.6028,3.1178
129.1,FALSE,Kilburn Park (bn),,,,p,,
129.2,FALSE,Kilburn Park (bs),,,,p,,
130,TRUE,Kings Cross St Pancras,-0.1241,51.5302,1,s,6.0049,3.2816
130.1,FALSE,Kings Cross St Pancras (nn),,,,p,,
130.2,FALSE,Kings Cross St Pancras (ns),,,,p,,
130.3,FALSE,Kings Cross St Pancras (pe),,,,p,,
130.4,FALSE,Kings Cross St Pancras (pw),,,,p,,
130.5,FALSE,Kings Cross St Pancras (rhme),,,,p,,
130.6,FALSE,Kings Cross St Pancras (rhmw),,,,p,,
130.7,FALSE,Kings Cross St Pancras (vn),,,,p,,
130.8,FALSE,Kings Cross St Pancras (vs),,,,p,,
131,TRUE,Kingsbury,-0.2786,51.5846,4,s,4.0344,2.0562
131.1,FALSE,Kingsbury (je),,,,p,,
131.2,FALSE,Kingsbury (jw),,,,p,,
132,TRUE,Knightsbridge,-0.1607,51.5015,1,s,4.7113,4.2834
132.1,FALSE,Knightsbridge (pe),,,,p,,
132.2,FALSE,Knightsbridge (pw),,,,p,,
133,TRUE,Ladbroke Grove,-0.2107,51.5172,2,s,3.6943,3.69
133.1,FALSE,Ladbroke Grove (rhe),,,,p,,
133.2,FALSE,Ladbroke Grove (rhw),,,,p,,
134,TRUE,Lambeth North,-0.1115,51.4991,1,s,5.625,5.02
134.1,FALSE,Lambeth North (bn),,,,p,,
134.2,FALSE,Lambeth North (bs),,,,p,,
135,TRUE,Lancaster Gate,-0.1756,51.5119,1,s,4.6175,3.905
135.1,FALSE,Lancaster Gate (ce),,,,p,,
135.2,FALSE,Lancaster Gate (cw),,,,p,,
136,TRUE,Latimer Road,-0.2172,51.5139,2,s,3.6943,3.7792
136.1,FALSE,Latimer Road (rhe),,,,p,,
136.2,FALSE,Latimer Road (rhw),,,,p,,
