,complete_bonus,beta,eta,alpha,tau,num_visited_per_episode,steps_per_episode,last_station,mean_num_visited,median_steps
47,100,10,100,0.1,0.0001,"[272, 272, 272, 272, 272, 271, 272, 272, 272, 272]","[5846, 6560, 14601, 7551, 6815, 19999, 13085, 6882, 7430, 9687]","['Amersham (mn)', 'Chesham (mn)', 'Watford (mn)', 'Kentish Town (ns)', 'Edgware Road (RDH) (rhw1)', 'Mornington Crescent (ns)', 'Bayswater (rdw)', 'Edgware Road (B) (bn)', 'Great Portland Street (rhme)', 'Harrow & Wealdstone (bn)']",271.9,7490.5
0,1,1,1,0.1,0.1,"[272, 272, 272, 272, 272, 272, 272, 272, 272, 272]","[18719, 19183, 6010, 6717, 11152, 3238, 4078, 6139, 14435, 8429]","['Chesham (mn)', 'Lambeth North (bs)', 'Stanmore (jw)', 'Mill Hill East (nn)', 'High Barnet (nn)', 'Ealing Broadway (cw)', 'Heathrow Terminal 5 (pw)', 'Richmond (dw)', 'Mill Hill East (nn)', 'Amersham (mn)']",272.0,7573.0
52,100,100,100,0.1,0.1,"[272, 272, 272, 272, 272, 272, 272, 272, 272, 272]","[8378, 10722, 5578, 5267, 6133, 14559, 7013, 12383, 11888, 5561]","['Chesham (mn)', 'Amersham (mn)', 'Swiss Cottage (jw)', 'West Kensington (de)', 'Chesham (mn)', 'Amersham (mn)', 'South Wimbledon (ns)', 'Chesham (mn)', 'Amersham (mn)', 'Covent Garden (pw)']",272.0,7695.5
37,100,1,1,0.1,0.0001,"[272, 272, 272, 272, 270, 271, 270, 270, 272, 272]","[6636, 8878, 6351, 5535, 19999, 19999, 19999, 19999, 5204, 4786]","['Chesham (mn)', 'Heathrow Terminal 5 (pw)', 'Chesham (mn)', 'Cockfosters (pe)', 'Goldhawk Road (rhe)', 'Bank (ns)', 'Swiss Cottage (je)', 'Moorgate (nn)', 'Manor House (pw)', 'Walthamstow Central (vn)']",271.3,7757.0
45,100,10,10,0.1,0.0001,"[272, 272, 272, 272, 270, 268, 270, 272, 272, 272]","[5994, 7434, 7094, 4142, 19999, 19999, 19999, 8171, 3960, 9199]","['Chesham (mn)', 'Amersham (mn)', 'Chesham (mn)', 'Watford (mn)', 'Wembley Park (je)', 'London Bridge (nn)', 'Stratford (je)', 'Regents Park (bn)', 'Bayswater (rdw)', 'Mill Hill East (nn)']",271.2,7802.5
41,100,1,100,0.1,0.0001,"[272, 272, 272, 272, 272, 272, 272, 271, 272, 272]","[7140, 7437, 4502, 3492, 11680, 11585, 8298, 19999, 10160, 8211]","['Amersham (mn)', 'Chesham (mn)', 'Roding Valley (ce)', 'Richmond (dw)', 'Amersham (mn)', 'Chesham (mn)', 'Richmond (dw)', 'West Ruislip (cw)', 'Amersham (mn)', 'Great Portland Street (rhme)']",271.9,8254.5
18,10,1,1,0.1,0.1,"[272, 272, 272, 272, 272, 272, 272, 272, 272, 271]","[6411, 5777, 15376, 6598, 2977, 10642, 16153, 8860, 7847, 19999]","['Chesham (mn)', 'Amersham (mn)', 'Chesham (mn)', 'Richmond (dw)', 'Battersea Power Station (ns)', 'Amersham (mn)', 'Chesham (mn)', 'Watford (mn)', 'Richmond (dw)', 'Leicester Square (pe)']",271.9,8353.5
51,100,100,10,0.1,0.0001,"[272, 272, 272, 272, 272, 272, 272, 272, 271, 272]","[3933, 14175, 5773, 3811, 6384, 5460, 12047, 17552, 19999, 10456]","['Amersham (mn)', 'Chesham (mn)', 'Bromley-by-Bow (dhe)', 'Lambeth North (bs)', 'Chesham (mn)', 'Lambeth North (bs)', 'Upminster (de)', 'Amersham (mn)', 'Gants Hill (ce)', 'Roding Valley (ce)']",271.9,8420.0
46,100,10,100,0.1,0.1,"[272, 272, 270, 272, 272, 272, 272, 272, 272, 272]","[6375, 7273, 19999, 13985, 10832, 8941, 9043, 7664, 7013, 9266]","['Amersham (mn)', 'Chesham (mn)', 'North Greenwich (jw)', 'Sloane Square (rdw)', 'Mill Hill East (nn)', 'Harrow & Wealdstone (bn)', 'High Street Kensington (rdw)', 'Regents Park (bn)', 'Harrow & Wealdstone (bn)', 'Mill Hill East (nn)']",271.8,8992.0
59,1000,1,100,0.1,0.0001,"[272, 272, 272, 270, 268, 272, 267, 272, 272, 272]","[5345, 8516, 6011, 19999, 19999, 18501, 19999, 9422, 6168, 9438]","['Chesham (mn)', 'Amersham (mn)', 'Watford (mn)', 'Putney Bridge (dw)', 'Embankment (rde)', 'Chesham (mn)', 'Hammersmith (RH) (rhe)', 'Bethnal Green (ce)', 'Blackhorse Road (vn)', 'Mill Hill East (nn)']",270.9,9430.0
